timestamp;total;ASH_COATED_OSMIUM;INTARIAN_PEPPER_ROOT
0;-58.5;0.0;-58.5
100;-101.0;0.0;-101.0
200;-211.0;0.0;-211.0
300;-31.0;0.0;-31.0
400;-465.0;0.0;-465.0
500;-438.0;0.0;-438.0
600;-369.0;0.0;-369.0
700;-432.0;57.0;-489.0
800;-503.0;66.0;-569.0
900;-477.0;12.0;-489.0
1000;-429.0;60.0;-489.0
1100;-211.0;78.0;-289.0
1200;-355.0;174.0;-529.0
1300;-313.0;96.0;-409.0
1400;-331.0;78.0;-409.0
1500;-319.0;90.0;-409.0
1600;-495.0;-6.0;-489.0
1700;-289.0;120.0;-409.0
1800;-319.0;90.0;-409.0
1900;-199.0;90.0;-289.0
2000;-377.0;72.0;-449.0
2100;-159.0;90.0;-249.0
2200;-359.0;90.0;-449.0
2300;-317.0;132.0;-449.0
2400;-245.0;84.0;-329.0
2500;-177.0;152.0;-329.0
2600;-251.0;158.0;-409.0
2700;-47.0;162.0;-209.0
2800;-171.0;158.0;-329.0
2900;-171.0;158.0;-329.0
3000;-135.0;154.0;-289.0
3100;-7.0;162.0;-169.0
3200;-123.0;166.0;-289.0
3300;-87.0;162.0;-249.0
3400;-87.0;162.0;-249.0
3500;27.0;156.0;-129.0
3600;-87.0;162.0;-249.0
3700;-95.0;154.0;-249.0
3800;29.0;158.0;-129.0
3900;-91.0;158.0;-249.0
4000;302.5;162.0;140.5
4100;-393.0;160.0;-553.0
4200;-80.0;164.0;-244.0
4300;406.0;170.0;236.0
4400;-154.0;170.0;-324.0
4500;-38.0;166.0;-204.0
4600;-32.0;172.0;-204.0
4700;114.0;198.0;-84.0
4800;-54.0;150.0;-204.0
4900;-118.0;166.0;-284.0
5000;2.0;166.0;-164.0
5100;-118.0;166.0;-284.0
5200;-324.0;160.0;-484.0
5300;30.0;154.0;-124.0
5400;30.0;154.0;-124.0
5500;-90.0;154.0;-244.0
5600;30.0;154.0;-124.0
5700;30.0;154.0;-124.0
5800;-437.5;126.5;-564.0
5900;7.5;131.5;-124.0
6000;-10.0;154.0;-164.0
6100;90.0;134.0;-44.0
6200;90.0;134.0;-44.0
6300;95.0;139.0;-44.0
6400;95.0;139.0;-44.0
6500;150.0;194.0;-44.0
6600;15.0;139.0;-124.0
6700;535.0;139.0;396.0
6800;95.0;139.0;-44.0
6900;92.5;136.5;-44.0
7000;140.0;144.0;-4.0
7100;180.0;144.0;36.0
7200;182.5;146.5;36.0
7300;175.0;139.0;36.0
7400;255.0;139.0;116.0
7500;610.0;134.0;476.0
7600;165.0;129.0;36.0
7700;177.5;141.5;36.0
7800;126.5;90.5;36.0
7900;167.0;131.0;36.0
8000;616.5;60.5;556.0
8100;124.0;128.0;-4.0
8200;251.5;135.5;116.0
8300;229.0;113.0;116.0
8400;244.0;128.0;116.0
8500;244.0;128.0;116.0
8600;379.0;143.0;236.0
8700;244.0;128.0;116.0
8800;244.0;128.0;116.0
8900;189.0;73.0;116.0
9000;-217.0;107.0;-324.0
9100;294.5;98.5;196.0
9200;383.0;107.0;276.0
9300;303.0;107.0;196.0
9400;-128.5;115.5;-244.0
9500;166.0;90.0;76.0
9600;206.0;90.0;116.0
9700;269.0;73.0;196.0
9800;269.0;73.0;196.0
9900;709.0;73.0;636.0
10000;334.5;98.5;236.0
10100;349.0;73.0;276.0
10200;349.0;73.0;276.0
10300;412.0;56.0;356.0
10400;376.0;-20.0;396.0
10500;612.5;24.0;588.5
10600;274.0;13.0;261.0
10700;351.0;90.0;261.0
10800;449.0;68.0;381.0
10900;405.0;24.0;381.0
11000;347.0;46.0;301.0
11100;387.0;46.0;341.0
11200;387.0;46.0;341.0
11300;49.0;68.0;-19.0
11400;489.0;68.0;421.0
11500;365.0;24.0;341.0
11600;304.5;-36.5;341.0
11700;183.0;-158.0;341.0
11800;399.0;58.0;341.0
11900;519.0;58.0;461.0
12000;479.5;98.5;381.0
12100;465.5;44.5;421.0
12200;479.0;58.0;421.0
12300;479.0;58.0;421.0
12400;268.0;-33.0;301.0
12500;871.5;10.5;861.0
12600;431.5;10.5;421.0
12700;915.0;54.0;861.0
12800;446.0;25.0;421.0
12900;598.0;257.0;341.0
13000;486.0;25.0;461.0
13100;442.5;-58.5;501.0
13200;631.0;50.0;581.0
13300;520.0;19.0;501.0
13400;431.0;50.0;381.0
13500;520.0;19.0;501.0
13600;520.0;19.0;501.0
13700;520.0;19.0;501.0
13800;592.0;91.0;501.0
13900;461.0;40.0;421.0
14000;661.0;40.0;621.0
14100;553.0;-28.0;581.0
14200;621.0;40.0;581.0
14300;621.0;40.0;581.0
14400;581.0;40.0;541.0
14500;469.0;-232.0;701.0
14600;587.0;6.0;581.0
14700;487.0;346.0;141.0
14800;655.0;74.0;581.0
14900;826.0;125.0;701.0
15000;695.0;74.0;621.0
15100;735.0;74.0;661.0
15200;769.0;108.0;661.0
15300;380.0;159.0;221.0
15400;769.0;108.0;661.0
15500;769.0;108.0;661.0
15600;803.0;142.0;661.0
15700;803.0;142.0;661.0
15800;803.0;142.0;661.0
15900;921.5;260.5;661.0
16000;794.0;173.0;621.0
16100;964.0;223.0;741.0
16200;844.0;223.0;621.0
16300;964.0;223.0;741.0
16400;869.0;248.0;621.0
16500;964.0;223.0;741.0
16600;951.5;210.5;741.0
16700;1379.0;198.0;1181.0
16800;939.0;198.0;741.0
