timestamp;total;ASH_COATED_OSMIUM;INTARIAN_PEPPER_ROOT
0;48.0;48.0;0.0
100;54.0;54.0;0.0
200;60.0;60.0;0.0
300;57.0;57.0;0.0
400;90.0;90.0;0.0
500;60.0;60.0;0.0
600;66.0;66.0;0.0
700;60.0;60.0;0.0
800;69.0;69.0;0.0
900;60.0;60.0;0.0
1000;60.0;60.0;0.0
1100;69.0;69.0;0.0
1200;54.0;54.0;0.0
1300;69.0;69.0;0.0
1400;60.0;60.0;0.0
1500;18.0;18.0;0.0
1600;83.0;83.0;0.0
1700;58.0;58.0;0.0
1800;25.0;25.0;0.0
1900;172.0;172.0;0.0
2000;60.0;60.0;0.0
2100;60.0;60.0;0.0
2200;60.0;60.0;0.0
2300;60.0;60.0;0.0
2400;67.0;67.0;0.0
2500;32.0;32.0;0.0
2600;46.0;46.0;0.0
2700;192.0;200.0;-8.0
2800;92.0;60.0;32.0
2900;114.0;46.0;68.0
3000;94.0;74.0;20.0
3100;120.0;88.0;32.0
3200;92.0;60.0;32.0
3300;-20.0;-52.0;32.0
3400;92.0;60.0;32.0
3500;96.0;60.0;36.0
3600;73.0;81.0;-8.0
3700;121.0;81.0;40.0
3800;170.5;130.5;40.0
3900;121.0;81.0;40.0
4000;143.0;103.0;40.0
4100;154.0;114.0;40.0
4200;158.0;106.0;52.0
4300;146.0;106.0;40.0
4400;146.0;106.0;40.0
4500;257.0;205.0;52.0
4600;142.0;106.0;36.0
4700;145.0;97.0;48.0
4800;101.0;97.0;4.0
4900;126.5;92.5;34.0
5000;150.0;106.0;44.0
5100;180.0;106.0;74.0
5200;360.0;106.0;254.0
5300;180.0;106.0;74.0
5400;198.0;124.0;74.0
5500;179.0;115.0;64.0
5600;209.0;115.0;94.0
5700;104.0;115.0;-11.0
5800;61.0;97.0;-36.0
5900;257.5;106.0;151.5
6000;233.5;119.5;114.0
6100;148.0;34.0;114.0
6200;182.5;106.0;76.5
6300;220.0;106.0;114.0
6400;220.0;106.0;114.0
6500;232.5;106.0;126.5
6600;216.5;115.0;101.5
6700;254.0;115.0;139.0
6800;216.5;115.0;101.5
